"Electricity consumption, per capita (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,-,-,-,-,-,-,-,-,-,-,-,499.474374060258,533.770097819624,562.459137575571,560.596032920997,701.469121755456,862.131411457604,1013.71426134534,1042.17281428866,1009.85481413114,1083.14282484319,1065.79759289821,1040.79848293063,1016.98940723889,996.381661865789,744.20747205412,1370.52851360234,1112.60443381358,952.721522881445,977.708968020527,517.50773507142,387.110390389005,423.043470941513,492.382571481083,544.138580592608,595.605049351334,808.993605063705,613.872635017465,649.883873052516,987.309110965662,1044.85481319637,1007.543434612,1248.04704672522,1122.23249765641,1035.78551504059,1010.815315376,766.264176756276,1002.53480397153,1120.43608751697
Algeria,-,-,-,-,-,-,-,-,-,-,-,113.934407635147,120.950278599644,133.530864226775,141.977356706616,162.108428046848,181.100771896295,195.338499757824,228.416827587018,250.292823911795,263.419944240317,286.287916403102,319.618214320602,331.86215045301,361.349133241483,380.695044857771,402.633339955088,375.127347478103,394.228374662083,437.169120819244,491.058939820797,491.730120745315,521.418864961722,507.595022250612,508.6854760292,516.605472725024,525.884522134285,522.830476662866,549.804295004924,584.431886456123,611.50196025558,637.490172120542,662.979476361248,715.875858646537,734.912737037356,819.529034512728,803.543545628222,839.88410779206,888.610551951733
Angola,-,-,-,-,-,-,-,-,-,-,-,90.0597085754266,99.4265646432874,114.361467552828,143.85112534478,155.358103109645,69.0101435068514,66.541526204124,65.2389958439102,68.2163563613558,70.0270579169365,68.639976433972,71.8448021088926,75.5847312610542,62.9174405597677,74.2730387005006,72.7057823102901,71.8929825519448,71.0964238200492,70.3315283186856,71.0549091674008,73.7404494743288,72.9298918450895,71.3183553800182,70.0232627323438,68.4729262726004,71.440829533417,97.9414389271358,104.86979719488,104.27445397545,110.813855501756,123.617050397311,130.060790866572,143.148512783874,155.911459617173,178.4327042951,195.630664651011,214.201033841215,251.78549973378
Argentina,-,-,-,-,-,-,-,-,-,-,-,812.908961387658,869.655088001319,903.699110374767,931.761478456348,948.415212400333,961.264960454226,1007.63662220201,1016.39004525903,1132.81202822553,1159.29333655131,1106.81274473734,1137.02937292575,1196.21834922988,1231.4865354131,1196.75749344117,1201.43116896744,1346.53468251617,1355.29913533547,1227.60887462728,1222.30686130501,1262.51406300596,1326.63441360535,1408.22248520559,1501.02563356819,1569.0264800686,1642.64818162316,1749.7884293555,1864.96374663217,1912.28591069689,2012.93753210861,2009.90583270212,1926.64051385296,2078.69941583819,2178.12958124937,2283.68607036537,2416.73180036598,2445.50930232195,2634.49539778257
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2671.95842315008,2512.46750889242,1846.80626025099,1183.22924770313,1035.34394039335,993.74267250748,1114.32392492643,1395.8053023864,1184.47880013656,1194.2614302308,1180.47009816746,1149.63598109387,1133.65003460727,1223.52209672347,1328.39749812794,1395.53574637333,1521.58904868074,1604.11148015412,1640.80697005241
Australia,1694.20873091559,1801.46912664002,1870.18926781441,2064.91146148206,2257.78854985566,2458.61679265247,2584.8311659385,2759.70079843238,2874.58584855301,3088.10841961119,3318.95979039759,3499.84143400427,3625.30144645974,3921.51528803324,4272.96347846549,4465.05556588292,4588.51577018433,4870.7439211033,5013.60528894067,5236.38292457998,5421.92145266456,5620.8292209611,5723.68915846735,5694.66177932244,5999.83454176669,6212.679807199,6508.5831462042,6710.09174061368,7009.83032172843,7310.98691049321,7592.30694061667,7633.75404330841,7607.20218885999,7739.44599053621,7858.36840312986,7998.82484880497,8120.18639445505,8289.88328781907,8696.31888343995,8885.39314149589,9015.88948280738,9321.22415213378,9779.57930385712,9471.55818796528,9669.02318790041,10034.3402405831,10010.1502648874,10113.1648792689,10299.7266764061
Austria,1617.47475855407,1692.16088962659,1786.61086382573,1885.42240870056,2016.75293657729,2110.98839220348,2186.66172088588,2248.60916323957,2400.43642402173,2576.0392444351,2755.65369677007,2907.5364383249,3115.66860161865,3335.50886323237,3476.32873529518,3466.69279445851,3733.39367723985,3863.71581160161,4032.82974701496,4222.00846289618,4374.09576056904,4334.89884037935,4374.6081020905,4479.0883285034,4721.97461204014,4910.8176274006,4972.45895149759,5140.19126514748,5338.60756170795,5481.55307234885,5538.51588634555,5733.0060934283,5601.66176519453,5627.40606456777,5683.58563893796,5805.62872160601,5994.24177493893,6061.03520549758,6154.50852633036,6383.40780928858,6436.92104420174,6624.04664958945,6571.86877478428,6727.20770788332,6846.4467149013,7091.95329426609,7116.97152161389,7258.5715304905,7261.16423881301
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2569.96476865174,2371.69066733221,1637.82180306566,1774.31376092824,1895.77287567782,1777.8406275724,1795.38647199043,1465.34750906516,1747.78554071458,1838.18296002487,1924.67347421576,1926.97435058033,1968.68229865319,2262.5108507931,2329.35964622982,2300.85136528507,2506.47404252828,1981.57001557505,1915.67062088913
Bahrain,-,-,-,-,-,-,-,-,-,-,-,1908.27465335552,1950.09098786828,2092.62816086904,2315.76287634441,2705.39319677421,3289.33242223042,3732.89331226253,3758.40811074767,4386.78049215937,4776.90351240621,4992.27223073685,5316.23559728759,5639.37611634972,4644.68499713433,5395.47507960844,5706.78466452511,5715.79201604885,5841.50590861456,5896.38512266111,5995.37240546999,5740.1729311342,6552.75428666398,6947.96712487914,7324.06517226991,7480.75303987329,7949.59864993763,7845.22396213586,8559.63216742228,8783.62607888422,8700.00154540738,9222.85539411275,9834.2340382421,10749.2240849592,11096.7829104009,11474.5098170249,13031.539984397,15087.9641476602,13532.8807221435
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,9.75235484567466,9.54109986539578,13.7873411189688,14.892995875396,14.9528617183962,15.0421381245984,15.8430456063566,18.7770020492187,18.2037639123488,15.966178955513,19.2499294112457,21.792941015385,25.1449188528273,27.7065656523384,28.4955757553029,32.5010541289246,33.5821578456879,35.6777782929362,43.5673461399145,42.8296444455303,43.5148947414495,52.9713404066164,59.8387278339448,63.5092062013087,70.2387455996675,74.2443459894631,76.6304064423869,81.306167021246,88.7427858170561,95.6258718021575,105.317090086827,112.392044069449,117.993146606951,144.995183120793,154.247946509396,173.932423816963,180.84544316571,206.964249574793
