Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Algeria,116,110,120,145,138,132,149,151,159,174,175,188
Angola,45,30,40,45,48,34,51,39,44,38,41,71
Benin,31,30,30,32,34,33,38,36,37,40,46,46
Botswana,210,220,216,253,276,290,278,384,477,608,726,635
Burkina Faso,34,39,41,45,49,49,49,55,62,73,86,87
Burundi,16,15,13,14,13,14,15,15,15,16,17,15
Cameroon,43,58,50,53,60,62,62,65,69,73,78,80
Cape Verde,124,120,126,151,148,164,189,197,188,204,258,278
Central African Rep.,42,39,44,44,44,49,50,52,50,53,54,55
Chad,33,31,32,34,35,36,38,36,40,42,41,40
Comoros,38,35,36,32,30,26,22,29,31,30,32,35
"Congo, Rep.",33,31,31,40,32,24,28,30,31,31,26,31
Cote d'Ivoire,77,92,104,114,98,85,69,60,61,65,63,66
"Congo, Dem. Rep.",12,10,12,14,11,12,11,11,14,15,17,18
Equatorial Guinea,56,66,98,155,106,81,144,386,220,272,282,280
Eritrea,31,27,33,35,32,29,35,39,41,39,30,28
Ethiopia,14,15,16,15,16,15,19,19,17,18,20,22
Gabon,135,140,201,321,275,251,331,308,293,284,274,252
Gambia,42,39,38,44,44,46,49,47,55,64,64,56
Ghana,62,63,71,75,82,85,86,81,82,86,93,100
Guinea,70,75,76,82,84,86,99,106,107,109,110,116
Guinea-Bissau,32,54,52,49,28,46,32,50,43,34,39,40
Kenya,78,78,77,74,70,80,84,84,83,86,95,105
Lesotho,101,107,99,101,94,101,119,115,120,124,112,143
Liberia,,,17,19,26,26,29,27,21,33,41,39
Madagascar,25,24,23,22,22,24,34,31,32,31,33,34
Malawi,27,31,35,41,37,28,34,45,60,65,64,70
Mali,33,43,42,41,46,49,56,56,60,61,60,65
Mauritania,37,25,28,33,43,43,35,49,47,42,49,45
Mauritius,257,265,279,318,318,383,407,456,443,524,544,581
Mozambique,21,21,24,27,32,39,39,43,42,43,47,56
Namibia,263,290,311,316,330,343,377,364,404,428,344,338
Niger,22,20,23,25,25,21,25,23,24,26,25,27
Nigeria,42,35,42,46,46,38,48,46,47,44,45,50
Rwanda,23,30,41,53,52,46,65,70,107,122,136,210
Sao Tome and Principe,91,103,130,93,55,61,92,90,131,140,122,141
Senegal,39,41,40,42,47,48,50,56,64,69,69,72
Seychelles,467,500,619,605,625,601,602,599,631,666,764,812
Sierra Leone,23,25,21,19,21,26,27,38,38,38,41,41
South Africa,499,583,590,604,599,586,631,652,683,737,811,869
Swaziland,244,268,259,322,298,292,291,266,346,369,360,353
Togo,50,51,56,54,54,53,58,59,66,64,67,70
Uganda,34,41,40,49,72,89,111,124,136,130,130,143
Tanzania,19,18,18,21,24,24,25,25,29,31,40,45
Zambia,43,49,52,53,47,48,53,61,64,69,62,62
Zimbabwe,176,185,212,260,173,179,137,120,135,154,146,147
Antigua and Barbuda,411,429,424,426,430,452,511,527,548,565,581,652
Argentina,894,916,1011,1068,1135,1120,1156,969,996,1280,1529,1665
Bahamas,984,1038,1116,1158,1157,1158,1180,1215,1259,1352,1404,1516
Barbados,712,719,724,760,808,857,903,993,985,1066,1102,1155
Belize,231,204,225,248,265,289,296,293,331,371,377,426
Bolivia,95,106,104,123,149,149,158,167,170,189,206,204
Brazil,473,500,515,508,535,572,615,639,641,707,755,765
Canada,2056,2058,2151,2315,2413,2509,2726,2867,3059,3217,3452,3672
Chile,471,488,484,545,548,576,613,617,622,637,668,697
Colombia,446,546,614,598,572,485,499,501,530,549,581,626
Costa Rica,409,419,405,441,467,498,543,583,620,598,684,743
Cuba,137,153,169,180,202,191,190,196,205,218,333,363
Dominica,284,296,320,323,352,366,348,363,381,396,437,481
Dominican Rep.,190,206,210,220,241,281,299,358,345,312,378,449
Ecuador,147,162,169,167,173,157,186,208,215,249,274,297
El Salvador,247,299,333,347,345,356,358,348,343,346,364,387
Grenada,254,272,293,318,354,366,395,420,452,465,561,596
Guatemala,128,130,140,167,187,227,228,222,234,252,244,259
Guyana,145,155,175,178,166,211,220,234,225,234,238,264
Haiti,78,72,63,63,65,69,69,70,68,66,71,96
Honduras,120,122,128,135,133,158,166,189,205,218,226,241
Jamaica,149,173,220,209,198,234,223,222,217,236,210,240
Mexico,393,374,409,434,469,507,549,581,624,680,725,756
Nicaragua,120,117,133,131,137,176,196,208,213,226,240,251
Panama,403,422,443,469,469,547,549,583,573,569,660,721
Paraguay,241,258,266,274,290,336,333,339,306,313,334,342
Peru,191,197,204,209,228,228,243,238,238,243,284,300
Saint Kitts and Nevis,443,473,401,403,443,482,485,516,524,560,579,654
Saint Lucia,250,265,282,282,311,335,350,354,354,382,397,421
Saint Vincent and the Grenadines,261,263,297,288,310,318,329,370,379,415,434,461
Suriname,250,331,329,314,327,345,363,386,400,327,325,361
Trinidad and Tobago,301,296,312,301,384,401,418,532,591,629,763,811
United States,3656,3803,3951,4112,4318,4570,4915,5305,5682,6014,6347,6714
Uruguay,726,807,876,992,974,968,987,848,848,815,885,989
Venezuela,261,221,322,340,340,356,308,268,244,303,325,396
Afghanistan,,,,22,19,11,10,13,18,20,26,29
Bahrain,630,707,743,810,794,708,798,861,892,883,933,1008
Djibouti,77,67,55,59,74,69,65,68,77,71,97,100
Egypt,110,128,158,159,192,207,230,251,262,264,279,316
Iran,231,284,303,333,344,364,397,432,472,503,677,731
Iraq,,40,32,64,54,45,46,47,80,159,130,124
Jordan,304,317,349,361,368,413,442,442,505,588,649,611
Kuwait,634,596,632,741,588,501,554,579,564,559,490,535
Lebanon,500,533,594,616,586,589,603,555,554,583,584,608
Libya,200,203,229,272,241,243,463,368,331,295,275,270
Morocco,126,135,145,160,169,178,199,210,226,240,258,273
Oman,339,338,336,391,370,342,367,397,407,413,390,382
Pakistan,39,43,45,48,53,44,41,43,43,47,49,51
Qatar,672,726,713,932,818,553,649,725,1075,1159,1283,1426
Saudi Arabia,336,350,372,411,514,563,595,566,571,557,570,607
Somalia,17,18,17,18,18,18,18,,,,,
Sudan,27,29,29,33,36,32,38,41,44,53,54,61
Syria,103,110,107,110,112,105,109,116,122,113,110,109
Tunisia,277,289,291,316,340,365,399,397,421,445,477,488
United Arab Emirates,756,721,733,743,659,609,713,638,649,632,625,673
"Yemen, Rep.",51,51,56,70,64,66,75,77,85,82,88,82
Albania,101,106,138,157,198,234,246,269,293,340,353,358
Andorra,1486,1603,1765,2195,1760,1903,1924,2154,2275,2427,2697,2910
Armenia,80,90,109,122,137,154,181,177,215,242,270,272
Austria,2291,2381,2484,2650,2741,2867,2901,3071,3215,3398,3485,3545
Azerbaijan,105,118,100,110,117,115,123,140,142,152,193,218
Belarus,215,206,249,252,276,300,347,358,389,428,515,572
Belgium,1843,1939,2037,2112,2283,2518,2655,2837,2871,3006,3071,3183
Bosnia and Herzegovina,147,257,361,401,481,442,460,545,610,709,779,794
Bulgaria,291,245,254,289,343,386,484,552,609,655,734,741
Croatia,554,648,568,676,733,855,860,852,880,974,1001,1084
Cyprus,724,818,892,948,984,1074,1140,1228,1335,1355,1550,1696
Czech Rep.,899,917,922,926,938,980,1082,1195,1340,1388,1447,1490
Denmark,2827,1979,2060,2176,2280,2378,2521,2696,2823,3030,3169,3349
Estonia,407,464,502,474,522,513,519,561,646,740,846,989
Finland,1402,1468,1522,1554,1603,1688,1793,1939,2028,2203,2299,2472
France,2051,2107,2165,2252,2344,2492,2666,2862,3076,3211,3406,3554
Georgia,78,125,148,131,132,161,185,224,250,276,318,355
Germany,2275,2399,2411,2482,2592,2671,2808,2936,3089,3166,3250,3328
Greece,1265,1301,1355,1382,1467,1966,2248,2427,2599,2667,2949,3101
